,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
403619,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y48,48 anni,4,vedova/o,2019,2019,1852,,
403624,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y48,48 anni,99,totale,2019,2019,471964,,
415791,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y49,49 anni,1,nubile/celibe,2019,2019,120659,,
415796,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y49,49 anni,2,coniugata/o,2019,2019,336274,,
415801,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y49,49 anni,3,divorziata/o,2019,2019,24146,,
415806,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y49,49 anni,4,vedova/o,2019,2019,2110,,
415811,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y49,49 anni,99,totale,2019,2019,483524,,
22298,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y5,5 anni,99,totale,2019,2019,260616,,
22471,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y5,5 anni,1,nubile/celibe,2019,2019,260616,,
431429,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y50,50 anni,1,nubile/celibe,2019,2019,112390,,
431434,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y50,50 anni,2,coniugata/o,2019,2019,339788,,
431439,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y50,50 anni,3,divorziata/o,2019,2019,24522,,
431444,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y50,50 anni,4,vedova/o,2019,2019,2450,,
431449,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y50,50 anni,99,totale,2019,2019,479538,,
436572,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y51,51 anni,1,nubile/celibe,2019,2019,105133,,
